Amount;Creation date;Closing date;Pipeline;Status;Customer;Country;Product;Sales person;Probability;Source;Expected amount;Color
9,903.371;03-18-2011 07:43:23;06-21-2011 07:43:23;EARLY;STANDBY;Company 8;Mexico;PRODUCT 6;Jamie Gilbeau;29.198;Partner;289,162.343;GREY
10,880.502;03-17-2011 05:42:23;07-25-2011 05:42:23;EARLY;DEMO;Company 3;Sweden;PRODUCT 2;Neva Hunger;17.134;Personal contact;186,424.085;RED
11,342.343;03-09-2011 18:28:23;07-07-2011 18:28:23;STANDBY;STANDBY;Company 2;Norway;PRODUCT 4;Nita Marling;27.38;Partner;310,558.661;GREY
8,027.55;03-05-2011 22:25:23;06-24-2011 22:25:23;EARLY;CONTACTED;Company 5;United States;PRODUCT 6;Jerri Preble;38.926;Customer;312,481.038;GREY
8,358.665;03-24-2011 10:04:23;07-25-2011 10:04:23;EARLY;CONTACTED;Company 3;Australia;PRODUCT 6;Jamie Gilbeau;98.462;Customer;823,010.905;GREEN
14,762.162;03-27-2011 05:34:23;08-04-2011 05:34:23;EARLY;CONTACTED;Company 2;India;PRODUCT 11;Jamie Gilbeau;16.585;Personal contact;244,828.007;RED
9,086.337;03-19-2011 02:06:23;07-20-2011 02:06:23;STANDBY;QUALIFIED;Company 8;Norway;PRODUCT 11;Darryl Innes;1.016;Partner;9,228.09;RED
14,472.502;02-28-2011 15:39:23;07-05-2011 15:39:23;STANDBY;LOST;Company 5;Netherlands;PRODUCT 8;Roxie Foraker;49.102;Reference;710,635.401;GREY
12,784.959;03-11-2011 22:38:23;07-23-2011 22:38:23;EARLY;SHORT LISTED;Company 7;Australia;PRODUCT 8;Roxie Foraker;46.872;Reference;599,262.149;GREY
8,455.217;03-24-2011 07:12:23;08-05-2011 07:12:23;EARLY;LOST;Company 8;Switzerland;PRODUCT 10;Darryl Innes;46.898;Reference;396,532.061;GREY
13,345.926;03-19-2011 10:42:23;07-17-2011 10:42:23;EARLY;CONTACTED;Company 6;Norway;PRODUCT 3;Jamie Gilbeau;22.243;Lead generation;296,858.919;RED
8,989.991;03-18-2011 09:34:23;06-26-2011 09:34:23;ADVANCED;LOST;Company 7;South Korea;PRODUCT 8;Darryl Innes;18.758;Personal contact;168,636.798;RED
14,310.342;03-27-2011 03:56:23;07-09-2011 03:56:23;EARLY;LOST;Company 5;Poland;PRODUCT 5;Jamie Gilbeau;52.981;Partner;758,176.885;YELLOW
10,675.818;03-18-2011 18:09:23;06-30-2011 18:09:23;ADVANCED;LOST;Company 3;Mexico;PRODUCT 3;Kathrine Janas;27.921;Event;298,078.218;GREY
9,898.65;03-16-2011 12:09:23;07-24-2011 12:09:23;STANDBY;SHORT LISTED;Company 7;South Korea;PRODUCT 8;Nita Marling;63.982;Partner;633,334.618;YELLOW
13,528.993;03-12-2011 20:01:23;07-07-2011 20:01:23;EARLY;WIN;Company 6;Belgium;PRODUCT 6;Kathrine Janas;67.296;Personal contact;910,447.783;YELLOW
12,551.988;04-21-2011 18:36:23;08-05-2011 18:36:23;EARLY;DEMO;Company 3;Poland;PRODUCT 4;Nita Marling;82.73;Website;1,038,422.782;GREEN
10,342.824;04-13-2011 13:05:23;08-06-2011 13:05:23;EARLY;WIN;Company 2;India;PRODUCT 7;Nita Marling;3.831;Lead generation;39,619.016;RED
11,485.256;04-11-2011 15:26:23;08-22-2011 15:26:23;EARLY;WIN;Company 9;South Korea;PRODUCT 10;Kathrine Janas;36.979;Event;424,714.607;GREY
11,809.062;04-01-2011 01:06:23;08-12-2011 01:06:23;STANDBY;QUALIFIED;Company 2;Germany;PRODUCT 8;Jamie Gilbeau;42.012;Event;496,118.788;GREY
12,751.903;04-01-2011 01:35:23;08-10-2011 01:35:23;STANDBY;WIN;Company 1;Spain;PRODUCT 8;Jamie Gilbeau;96.58;Reference;1,231,576.727;GREEN
14,901.047;04-03-2011 10:08:23;07-04-2011 10:08:23;ADVANCED;STANDBY;Company 8;Poland;PRODUCT 8;Roxie Foraker;56.512;Customer;842,084.552;YELLOW
10,320.439;04-12-2011 20:10:23;08-15-2011 20:10:23;STANDBY;SHORT LISTED;Company 2;Saudi Arabia;PRODUCT 11;Jamie Gilbeau;9.442;Reference;97,444.355;RED
9,018.577;04-19-2011 14:54:23;08-09-2011 14:54:23;ADVANCED;QUALIFIED;Company 7;Switzerland;PRODUCT 4;Darryl Innes;43.974;Event;396,578.663;GREY
10,662.66;04-19-2011 18:37:23;07-31-2011 18:37:23;STANDBY;VERBAL COMMITMENT;Company 2;Germany;PRODUCT 1;Roxie Foraker;81.641;Lead generation;870,510.041;GREEN
9,394.492;04-13-2011 08:57:23;07-15-2011 08:57:23;ADVANCED;CONTACTED;Company 8;Saudi Arabia;PRODUCT 6;Jamie Gilbeau;43.936;Event;412,756.564;GREY
9,353.589;04-14-2011 01:13:23;08-25-2011 01:13:23;ADVANCED;STANDBY;Company 9;South Korea;PRODUCT 8;Nita Marling;51.665;Website;483,251.914;YELLOW
9,262.98;04-02-2011 21:08:23;07-11-2011 21:08:23;ADVANCED;LOST;Company 5;China;PRODUCT 11;Jerri Preble;78.901;Partner;730,859.22;GREEN
14,183.147;04-18-2011 04:21:23;08-25-2011 04:21:23;ADVANCED;VERBAL COMMITMENT;Company 8;France;PRODUCT 8;Kathrine Janas;8.8;Event;124,812.637;RED
8,289.599;04-02-2011 23:57:23;07-23-2011 23:57:23;EARLY;WIN;Company 3;Indonesia;PRODUCT 1;Darryl Innes;63.541;Website;526,726.044;YELLOW
13,279.527;04-26-2011 15:51:23;08-17-2011 15:51:23;EARLY;STANDBY;Company 8;Norway;PRODUCT 8;Neva Hunger;5.659;Partner;75,154.37;RED
8,763.02;04-04-2011 20:21:23;07-31-2011 20:21:23;STANDBY;STANDBY;Company 9;Indonesia;PRODUCT 8;Darryl Innes;33.044;Lead generation;289,566.21;GREY
10,744.305;04-26-2011 23:27:23;08-29-2011 23:27:23;STANDBY;CONTACTED;Company 4;France;PRODUCT 4;Roxie Foraker;14.85;Reference;159,554.19;RED
11,048.487;04-16-2011 15:27:23;08-12-2011 15:27:23;EARLY;STANDBY;Company 5;Australia;PRODUCT 2;Neva Hunger;40.607;Reference;448,650.275;GREY
14,299.25;04-07-2011 15:35:23;08-11-2011 15:35:23;ADVANCED;DEMO;Company 2;Norway;PRODUCT 4;Darryl Innes;79.782;Personal contact;1,140,829.571;GREEN
11,802.996;04-27-2011 21:13:23;08-22-2011 21:13:23;EARLY;VERBAL COMMITMENT;Company 4;United States;PRODUCT 7;Jerri Preble;74.061;Event;874,146.179;YELLOW
13,444.873;04-13-2011 03:13:23;07-16-2011 03:13:23;ADVANCED;DEMO;Company 1;France;PRODUCT 3;Darryl Innes;9.619;Lead generation;129,329.162;RED
8,452.194;04-04-2011 09:00:23;07-18-2011 09:00:23;ADVANCED;DEMO;Company 9;India;PRODUCT 1;Jamie Gilbeau;41.642;Customer;351,964.97;GREY
14,630.675;04-26-2011 23:09:23;08-22-2011 23:09:23;EARLY;QUALIFIED;Company 1;United States;PRODUCT 6;Nita Marling;68.365;Personal contact;1,000,233.237;YELLOW
13,428.997;04-27-2011 15:43:23;08-30-2011 15:43:23;ADVANCED;DEMO;Company 5;United States;PRODUCT 3;Julio Burdge;76.9;Lead generation;1,032,685.544;GREEN
10,937.131;04-13-2011 00:21:23;08-25-2011 00:21:23;EARLY;WIN;Company 2;United Kingdom;PRODUCT 3;Neva Hunger;8.099;Customer;88,584.215;RED
11,673.922;04-17-2011 11:23:23;08-01-2011 11:23:23;STANDBY;CONTACTED;Company 5;Belgium;PRODUCT 11;Darryl Innes;12.752;Reference;148,863.507;RED
8,769.378;04-11-2011 09:06:23;08-09-2011 09:06:23;ADVANCED;VERBAL COMMITMENT;Company 4;India;PRODUCT 5;Jerri Preble;96.343;Website;844,870.86;GREEN
11,897.146;04-05-2011 10:56:23;08-16-2011 10:56:23;EARLY;VERBAL COMMITMENT;Company 6;Netherlands;PRODUCT 8;Julio Burdge;74.673;Reference;888,391.595;YELLOW
10,062.637;04-18-2011 22:27:23;08-01-2011 22:27:23;ADVANCED;WIN;Company 1;Brazil;PRODUCT 5;Nita Marling;87.576;Website;881,241.154;GREEN
13,102.276;04-16-2011 23:14:23;08-25-2011 23:14:23;ADVANCED;SHORT LISTED;Company 8;Norway;PRODUCT 2;Julio Burdge;43.026;Personal contact;563,744.34;GREY
9,499.338;05-14-2011 20:42:23;08-21-2011 20:42:23;STANDBY;WIN;Company 6;Indonesia;PRODUCT 8;Neva Hunger;88.883;Lead generation;844,330.548;GREEN
8,871.842;05-01-2011 22:16:23;09-01-2011 22:16:23;STANDBY;LOST;Company 4;Italy;PRODUCT 10;Jerri Preble;34.54;Personal contact;306,431.53;GREY
10,237.975;05-13-2011 22:28:23;09-03-2011 22:28:23;STANDBY;LOST;Company 3;South Korea;PRODUCT 5;Kathrine Janas;69.754;Partner;714,143.655;YELLOW
11,914.508;05-13-2011 20:31:23;09-06-2011 20:31:23;STANDBY;DEMO;Company 5;Spain;PRODUCT 10;Darryl Innes;52.915;Customer;630,458.833;YELLOW
12,653.677;05-06-2011 08:45:23;09-17-2011 08:45:23;STANDBY;QUALIFIED;Company 3;Switzerland;PRODUCT 5;Jerri Preble;66.013;Customer;835,310.449;YELLOW
11,374.001;05-19-2011 03:46:23;09-16-2011 03:46:23;ADVANCED;LOST;Company 4;Netherlands;PRODUCT 7;Jerri Preble;58.585;Event;666,348.085;YELLOW
14,590.495;05-06-2011 06:36:23;08-23-2011 06:36:23;EARLY;QUALIFIED;Company 2;Italy;PRODUCT 5;Jamie Gilbeau;27.893;Reference;406,975.466;GREY
13,399.76;05-07-2011 01:34:23;08-23-2011 01:34:23;STANDBY;WIN;Company 4;Netherlands;PRODUCT 5;Roxie Foraker;7.607;Lead generation;101,928.208;RED
12,625.408;05-11-2011 21:30:23;08-25-2011 21:30:23;ADVANCED;STANDBY;Company 4;Germany;PRODUCT 10;Kathrine Janas;62.252;Customer;785,960.659;YELLOW
14,479.3;05-14-2011 18:07:23;08-29-2011 18:07:23;STANDBY;VERBAL COMMITMENT;Company 8;Netherlands;PRODUCT 2;Kathrine Janas;9.697;Event;140,400.659;RED
14,844.053;05-01-2011 00:27:23;09-02-2011 00:27:23;EARLY;SHORT LISTED;Company 2;Turkey;PRODUCT 1;Kathrine Janas;18.929;Event;280,981.716;RED
9,032.303;05-27-2011 00:32:23;09-03-2011 00:32:23;STANDBY;DEMO;Company 8;Spain;PRODUCT 8;Jerri Preble;55.408;Lead generation;500,458.041;YELLOW
12,628.169;05-26-2011 19:30:23;09-27-2011 19:30:23;EARLY;LOST;Company 7;Belgium;PRODUCT 3;Jamie Gilbeau;71.238;Reference;899,602.69;YELLOW
13,766.417;05-22-2011 17:50:23;08-23-2011 17:50:23;STANDBY;QUALIFIED;Company 7;Italy;PRODUCT 2;Darryl Innes;62.444;Website;859,635.663;YELLOW
12,954.758;05-01-2011 03:48:23;08-25-2011 03:48:23;EARLY;CONTACTED;Company 8;Japan;PRODUCT 3;Kathrine Janas;40.607;Reference;526,053.102;GREY
14,294.783;05-08-2011 01:29:23;08-15-2011 01:29:23;STANDBY;STANDBY;Company 6;Netherlands;PRODUCT 1;Jerri Preble;91.121;Event;1,302,560.845;GREEN
8,706.972;05-07-2011 19:08:23;08-20-2011 19:08:23;ADVANCED;DEMO;Company 7;Mexico;PRODUCT 11;Jerri Preble;15.355;Partner;133,697.107;RED
12,515.275;05-05-2011 02:04:23;08-12-2011 02:04:23;ADVANCED;WIN;Company 5;India;PRODUCT 4;Kathrine Janas;78.96;Partner;988,207.873;GREEN
9,496.709;05-14-2011 23:27:23;08-16-2011 23:27:23;ADVANCED;DEMO;Company 8;Poland;PRODUCT 6;Roxie Foraker;13.61;Customer;129,251.122;RED
10,251.461;05-03-2011 10:20:23;09-11-2011 10:20:23;STANDBY;VERBAL COMMITMENT;Company 3;Belgium;PRODUCT 8;Nita Marling;44.428;Partner;455,448.862;GREY
10,498.94;05-22-2011 19:53:23;09-27-2011 19:53:23;EARLY;STANDBY;Company 9;Norway;PRODUCT 8;Neva Hunger;40.367;Personal contact;423,809.083;GREY
9,655.283;05-24-2011 20:01:23;09-15-2011 20:01:23;STANDBY;QUALIFIED;Company 8;India;PRODUCT 1;Jerri Preble;9.816;Event;94,775.01;RED
14,797.742;05-10-2011 04:26:23;09-08-2011 04:26:23;STANDBY;WIN;Company 1;France;PRODUCT 6;Jerri Preble;88.687;Website;1,312,374.249;GREEN
12,871.455;05-08-2011 04:18:23;08-12-2011 04:18:23;ADVANCED;VERBAL COMMITMENT;Company 9;Turkey;PRODUCT 8;Neva Hunger;93.261;Website;1,200,400.924;GREEN
14,744.055;05-02-2011 13:37:23;09-09-2011 13:37:23;EARLY;QUALIFIED;Company 2;India;PRODUCT 8;Julio Burdge;35.041;Reference;516,644.453;GREY
10,463.58;05-10-2011 15:24:23;08-23-2011 15:24:23;EARLY;CONTACTED;Company 1;Indonesia;PRODUCT 3;Nita Marling;19.903;Event;208,254.758;RED
12,825.166;05-19-2011 02:19:23;08-27-2011 02:19:23;EARLY;CONTACTED;Company 9;South Korea;PRODUCT 2;Julio Burdge;78.783;Customer;1,010,409.767;GREEN
11,101.984;05-14-2011 16:39:23;09-02-2011 16:39:23;EARLY;WIN;Company 4;United Kingdom;PRODUCT 5;Nita Marling;2.188;Website;24,294.908;RED
8,545.894;05-12-2011 08:15:23;08-20-2011 08:15:23;EARLY;SHORT LISTED;Company 8;Japan;PRODUCT 10;Jerri Preble;75.78;Event;647,607.729;GREEN
11,013.274;05-09-2011 11:26:23;09-16-2011 11:26:23;STANDBY;VERBAL COMMITMENT;Company 5;Canada;PRODUCT 8;Nita Marling;39.31;Lead generation;432,935.775;GREY
10,821.512;06-17-2011 10:58:23;10-12-2011 10:58:23;STANDBY;QUALIFIED;Company 2;United States;PRODUCT 6;Jamie Gilbeau;16.166;Event;174,942.902;RED
11,691.608;06-22-2011 20:22:23;10-25-2011 20:22:23;ADVANCED;VERBAL COMMITMENT;Company 4;Switzerland;PRODUCT 8;Neva Hunger;85.791;Personal contact;1,003,036.519;GREEN
9,382.375;06-27-2011 04:28:23;10-20-2011 04:28:23;EARLY;CONTACTED;Company 2;France;PRODUCT 2;Kathrine Janas;96.251;Reference;903,058.538;GREEN
12,371.689;06-06-2011 16:23:23;09-09-2011 16:23:23;ADVANCED;WIN;Company 2;Japan;PRODUCT 7;Neva Hunger;39.205;Lead generation;485,030.803;GREY
13,690.272;06-01-2011 02:40:23;09-20-2011 02:40:23;STANDBY;STANDBY;Company 1;Switzerland;PRODUCT 11;Roxie Foraker;34.557;Customer;473,100.858;GREY
8,763.472;06-12-2011 18:12:23;09-14-2011 18:12:23;STANDBY;LOST;Company 6;Brazil;PRODUCT 3;Julio Burdge;97.041;Website;850,417.395;GREEN
8,866.498;06-04-2011 01:35:23;09-16-2011 01:35:23;ADVANCED;WIN;Company 9;Sweden;PRODUCT 5;Darryl Innes;82.011;Customer;727,152.785;GREEN
8,548.6;06-24-2011 22:26:23;10-22-2011 22:26:23;STANDBY;SHORT LISTED;Company 4;Spain;PRODUCT 7;Roxie Foraker;32.709;Lead generation;279,614.408;GREY
14,131.641;06-23-2011 20:29:23;10-08-2011 20:29:23;STANDBY;CONTACTED;Company 3;Poland;PRODUCT 10;Jamie Gilbeau;76.26;Personal contact;1,077,684.834;GREEN
11,138.546;06-15-2011 17:20:23;10-14-2011 17:20:23;EARLY;VERBAL COMMITMENT;Company 4;Germany;PRODUCT 5;Neva Hunger;40.681;Partner;453,124.516;GREY
9,257.089;06-23-2011 15:38:23;11-01-2011 15:38:23;ADVANCED;WIN;Company 2;Italy;PRODUCT 8;Roxie Foraker;90.142;Personal contact;834,456.059;GREEN
11,194.484;05-31-2011 22:44:23;09-02-2011 22:44:23;STANDBY;SHORT LISTED;Company 3;Australia;PRODUCT 2;Darryl Innes;0.779;Event;8,723.383;RED
12,528.259;06-23-2011 06:01:23;11-04-2011 06:01:23;EARLY;DEMO;Company 2;Saudi Arabia;PRODUCT 10;Julio Burdge;24.289;Website;304,302.926;RED
8,408.871;06-24-2011 09:47:23;10-16-2011 09:47:23;STANDBY;STANDBY;Company 3;China;PRODUCT 3;Neva Hunger;11.602;Customer;97,557.266;RED
12,719.539;06-07-2011 14:38:23;09-12-2011 14:38:23;ADVANCED;CONTACTED;Company 9;Russia;PRODUCT 6;Jamie Gilbeau;93.874;Reference;1,194,037.784;GREEN
13,048.755;06-06-2011 14:56:23;09-20-2011 14:56:23;STANDBY;VERBAL COMMITMENT;Company 4;Sweden;PRODUCT 5;Roxie Foraker;43.087;Event;562,235.058;GREY
10,580.953;06-08-2011 18:31:23;10-03-2011 18:31:23;STANDBY;SHORT LISTED;Company 9;United States;PRODUCT 5;Roxie Foraker;59.498;Customer;629,546.536;YELLOW
8,760.796;06-10-2011 18:29:23;10-13-2011 18:29:23;EARLY;WIN;Company 6;Brazil;PRODUCT 7;Darryl Innes;58.224;Reference;510,088.037;YELLOW
12,336.547;06-01-2011 22:10:23;10-08-2011 22:10:23;STANDBY;LOST;Company 4;France;PRODUCT 8;Nita Marling;52.217;Customer;644,173.395;YELLOW
9,138.009;06-25-2011 00:39:23;10-15-2011 00:39:23;ADVANCED;LOST;Company 8;Saudi Arabia;PRODUCT 6;Julio Burdge;53.896;Reference;492,506.131;YELLOW
13,694.483;06-18-2011 15:23:23;09-19-2011 15:23:23;EARLY;SHORT LISTED;Company 2;Japan;PRODUCT 10;Roxie Foraker;42.709;Reference;584,881.729;GREY
8,548.224;06-27-2011 04:49:23;10-22-2011 04:49:23;ADVANCED;VERBAL COMMITMENT;Company 5;Poland;PRODUCT 10;Nita Marling;70.875;Personal contact;605,851.237;YELLOW
12,868.865;06-16-2011 08:32:23;10-22-2011 08:32:23;STANDBY;DEMO;Company 7;Saudi Arabia;PRODUCT 1;Kathrine Janas;4.587;Event;59,032.386;RED
12,724.267;06-22-2011 11:21:23;10-21-2011 11:21:23;STANDBY;SHORT LISTED;Company 5;United States;PRODUCT 10;Jerri Preble;22.942;Customer;291,920.246;RED
14,113.277;06-03-2011 05:15:23;10-01-2011 05:15:23;STANDBY;CONTACTED;Company 3;United Kingdom;PRODUCT 10;Neva Hunger;21.843;Reference;308,277.099;RED
12,615.855;06-24-2011 16:08:23;10-13-2011 16:08:23;ADVANCED;QUALIFIED;Company 5;Indonesia;PRODUCT 10;Nita Marling;95.167;Lead generation;1,200,606.953;GREEN
11,266.038;06-21-2011 03:08:23;11-01-2011 03:08:23;STANDBY;QUALIFIED;Company 4;Indonesia;PRODUCT 1;Julio Burdge;90.441;Customer;1,018,908.291;GREEN
10,003.215;06-05-2011 23:41:23;09-23-2011 23:41:23;STANDBY;SHORT LISTED;Company 4;China;PRODUCT 8;Julio Burdge;61.31;Lead generation;613,293.745;YELLOW
10,807.18;06-13-2011 20:25:23;10-03-2011 20:25:23;EARLY;DEMO;Company 8;Norway;PRODUCT 7;Jamie Gilbeau;64.046;Personal contact;692,156.098;YELLOW
14,372.423;06-08-2011 20:54:23;09-18-2011 20:54:23;EARLY;LOST;Company 7;South Korea;PRODUCT 4;Julio Burdge;70.378;Partner;1,011,502.003;YELLOW
13,927.144;07-12-2011 06:24:23;11-09-2011 06:24:23;EARLY;LOST;Company 4;Poland;PRODUCT 5;Roxie Foraker;93.898;Personal contact;1,307,727.247;GREEN
14,552.45;07-25-2011 12:08:23;10-23-2011 12:08:23;EARLY;SHORT LISTED;Company 7;Spain;PRODUCT 7;Darryl Innes;52.314;Customer;761,303.637;YELLOW
10,107.193;07-24-2011 13:49:23;10-22-2011 13:49:23;STANDBY;STANDBY;Company 3;Japan;PRODUCT 2;Neva Hunger;12.82;Reference;129,573.352;RED
12,613.943;07-05-2011 18:58:23;10-06-2011 18:58:23;STANDBY;WIN;Company 8;France;PRODUCT 1;Julio Burdge;92.831;Reference;1,170,961.705;GREEN
13,711.542;07-17-2011 19:13:23;11-10-2011 19:13:23;STANDBY;DEMO;Company 6;Brazil;PRODUCT 2;Jamie Gilbeau;13.374;Event;183,375.291;RED
11,529.716;07-23-2011 10:53:23;10-30-2011 10:53:23;ADVANCED;VERBAL COMMITMENT;Company 5;Mexico;PRODUCT 1;Roxie Foraker;27.38;Event;315,681.257;GREY
14,091.215;07-17-2011 06:36:23;11-17-2011 06:36:23;STANDBY;WIN;Company 8;Sweden;PRODUCT 6;Darryl Innes;70.151;Lead generation;988,515.054;YELLOW
9,096.954;07-15-2011 00:17:23;11-26-2011 00:17:23;STANDBY;VERBAL COMMITMENT;Company 5;Switzerland;PRODUCT 6;Darryl Innes;4.269;Website;38,838.716;RED
10,699.608;07-27-2011 01:42:23;11-16-2011 01:42:23;EARLY;LOST;Company 7;Indonesia;PRODUCT 1;Julio Burdge;56.208;Partner;601,404.153;YELLOW
8,621.151;07-02-2011 17:26:23;10-17-2011 17:26:23;ADVANCED;VERBAL COMMITMENT;Company 5;Norway;PRODUCT 2;Julio Burdge;66.916;Event;576,894.823;YELLOW
10,719.786;07-12-2011 09:02:23;10-29-2011 09:02:23;EARLY;SHORT LISTED;Company 4;Turkey;PRODUCT 7;Neva Hunger;3.639;Personal contact;39,010.009;RED
14,861.755;07-11-2011 08:19:23;10-12-2011 08:19:23;ADVANCED;STANDBY;Company 8;Turkey;PRODUCT 2;Neva Hunger;5.24;Customer;77,879.527;RED
13,703.482;07-06-2011 16:57:23;10-20-2011 16:57:23;EARLY;STANDBY;Company 2;Australia;PRODUCT 4;Nita Marling;58.292;Partner;798,807.869;YELLOW
11,739.531;07-07-2011 18:40:23;10-30-2011 18:40:23;ADVANCED;VERBAL COMMITMENT;Company 6;Canada;PRODUCT 1;Julio Burdge;26.2;Partner;307,580.35;GREY
14,721.83;07-05-2011 20:55:23;10-14-2011 20:55:23;ADVANCED;SHORT LISTED;Company 1;Poland;PRODUCT 2;Jerri Preble;78.625;Customer;1,157,505.246;GREEN
9,305.653;07-13-2011 09:27:23;10-11-2011 09:27:23;STANDBY;VERBAL COMMITMENT;Company 3;Brazil;PRODUCT 2;Julio Burdge;93.47;Personal contact;869,800.202;GREEN
8,527.806;07-03-2011 17:31:23;11-13-2011 17:31:23;STANDBY;SHORT LISTED;Company 3;Norway;PRODUCT 6;Kathrine Janas;28.7;Customer;244,747.675;GREY
9,472.505;07-26-2011 11:18:23;10-26-2011 11:18:23;STANDBY;LOST;Company 4;Poland;PRODUCT 7;Kathrine Janas;86.254;Website;817,041.522;GREEN
12,230.395;07-19-2011 01:58:23;11-03-2011 01:58:23;STANDBY;STANDBY;Company 1;Saudi Arabia;PRODUCT 6;Jerri Preble;15.322;Customer;187,390.371;RED
13,006.204;07-09-2011 19:01:23;10-22-2011 19:01:23;ADVANCED;VERBAL COMMITMENT;Company 4;Belgium;PRODUCT 8;Neva Hunger;27.245;Customer;354,356.149;GREY
11,980.47;07-06-2011 10:03:23;10-18-2011 10:03:23;EARLY;LOST;Company 8;Japan;PRODUCT 1;Darryl Innes;19.315;Website;231,399.475;RED
8,280.843;07-02-2011 14:50:23;09-30-2011 14:50:23;EARLY;STANDBY;Company 4;Mexico;PRODUCT 11;Nita Marling;29.723;Website;246,128.712;GREY
12,168.397;07-02-2011 07:47:23;11-03-2011 07:47:23;STANDBY;QUALIFIED;Company 3;Canada;PRODUCT 5;Nita Marling;70.941;Customer;863,240.774;YELLOW
8,294.452;07-02-2011 23:07:23;10-29-2011 23:07:23;EARLY;QUALIFIED;Company 6;Spain;PRODUCT 3;Julio Burdge;13.79;Event;114,381.656;RED
8,633.352;07-11-2011 13:30:23;11-15-2011 13:30:23;EARLY;DEMO;Company 5;South Korea;PRODUCT 1;Julio Burdge;19.46;Lead generation;168,002.938;RED
13,446.677;07-24-2011 02:28:23;11-17-2011 02:28:23;EARLY;SHORT LISTED;Company 3;India;PRODUCT 3;Darryl Innes;41.755;Lead generation;561,462.916;GREY
8,384.361;07-16-2011 06:20:23;10-23-2011 06:20:23;EARLY;LOST;Company 1;United Kingdom;PRODUCT 10;Jamie Gilbeau;46.825;Reference;392,595.849;GREY
8,578.177;07-09-2011 03:55:23;10-27-2011 03:55:23;STANDBY;VERBAL COMMITMENT;Company 7;China;PRODUCT 3;Nita Marling;22.647;Personal contact;194,269.396;RED
8,333.06;07-13-2011 00:44:23;10-23-2011 00:44:23;EARLY;LOST;Company 9;Indonesia;PRODUCT 6;Darryl Innes;75.526;Lead generation;629,366.305;GREEN
11,771.742;07-24-2011 23:34:23;10-23-2011 23:34:23;EARLY;QUALIFIED;Company 7;Switzerland;PRODUCT 5;Kathrine Janas;35.88;Customer;422,375.785;GREY
13,538.165;08-11-2011 06:51:23;12-05-2011 06:51:23;EARLY;DEMO;Company 4;United States;PRODUCT 2;Kathrine Janas;20.571;Event;278,497.01;RED
10,415.131;08-21-2011 08:33:23;12-16-2011 08:33:23;STANDBY;QUALIFIED;Company 3;Turkey;PRODUCT 3;Jamie Gilbeau;24.054;Reference;250,521.896;RED
14,461.675;08-17-2011 05:00:23;11-27-2011 05:00:23;STANDBY;VERBAL COMMITMENT;Company 4;United Kingdom;PRODUCT 7;Julio Burdge;35.603;Customer;514,883.448;GREY
12,025.62;08-09-2011 13:34:23;11-19-2011 13:34:23;STANDBY;SHORT LISTED;Company 4;Mexico;PRODUCT 8;Kathrine Janas;4.891;Event;58,812.227;RED
10,736.78;08-23-2011 08:36:23;12-12-2011 08:36:23;EARLY;STANDBY;Company 8;Belgium;PRODUCT 1;Neva Hunger;3.166;Event;33,993.605;RED
10,336.284;08-15-2011 23:47:23;12-26-2011 23:47:23;ADVANCED;VERBAL COMMITMENT;Company 3;Brazil;PRODUCT 8;Jerri Preble;52.323;Lead generation;540,830.303;YELLOW
14,947.495;08-14-2011 03:51:23;11-12-2011 03:51:23;EARLY;DEMO;Company 3;Canada;PRODUCT 11;Nita Marling;19.105;Customer;285,571.39;RED
10,143.98;08-15-2011 20:20:23;12-05-2011 20:20:23;STANDBY;DEMO;Company 2;United States;PRODUCT 11;Julio Burdge;96.715;Partner;981,078.976;GREEN
11,920.012;08-25-2011 02:32:23;01-01-2012 02:32:23;ADVANCED;SHORT LISTED;Company 6;United States;PRODUCT 4;Kathrine Janas;21.11;Partner;251,634.651;RED
9,419.065;08-26-2011 15:02:23;11-30-2011 15:02:23;STANDBY;VERBAL COMMITMENT;Company 8;United Kingdom;PRODUCT 4;Roxie Foraker;94.224;Event;887,498.281;GREEN
10,025.772;08-25-2011 18:49:23;11-25-2011 18:49:23;ADVANCED;CONTACTED;Company 6;Sweden;PRODUCT 3;Kathrine Janas;11.401;Reference;114,303.799;RED
12,176.821;08-08-2011 20:49:23;11-19-2011 20:49:23;STANDBY;DEMO;Company 3;Germany;PRODUCT 5;Jamie Gilbeau;15.304;Customer;186,350.236;RED
12,996.249;08-25-2011 14:07:23;12-04-2011 14:07:23;STANDBY;SHORT LISTED;Company 3;Australia;PRODUCT 1;Julio Burdge;23.549;Event;306,051.088;RED
12,610.606;08-08-2011 08:25:23;12-08-2011 08:25:23;STANDBY;SHORT LISTED;Company 4;Belgium;PRODUCT 7;Darryl Innes;2.354;Reference;29,686.867;RED
13,749.461;08-22-2011 10:29:23;12-18-2011 10:29:23;EARLY;STANDBY;Company 8;Canada;PRODUCT 6;Neva Hunger;83.445;Personal contact;1,147,321.7;GREEN
9,986.716;08-14-2011 21:53:23;12-17-2011 21:53:23;ADVANCED;LOST;Company 3;South Korea;PRODUCT 1;Darryl Innes;46.502;Reference;464,398.243;GREY
13,728.196;08-27-2011 11:13:23;01-03-2012 11:13:23;EARLY;DEMO;Company 8;Turkey;PRODUCT 8;Jamie Gilbeau;14.402;Customer;197,707.722;RED
